id,name,shortName,officialName,code,position,country/id,country/name
1qiyr1mknujsl19tb9u2w9h3n,Romania,Romania,Romania,ROU,home,17oj2qrzqlkhdjvazum10sx2i,Romania
7a8no9dyo0r9g31sfi9h7ffbc,Ukraine,Ukraine,Ukraine,UKR,away,315w6fk6umfzf4qvba3t55u61,Ukraine
